"Gender","Burned","Weight"
"M","Recent",1.8727059620817
"M","Recent",1.92682926520538
"M","Recent",1.92098115743093
"M","Recent",1.87081864003949
"M","Recent",1.9423730008656
"M","Recent",1.91330109896824
"M","Recent",1.92222926351802
"M","Recent",1.87667524382171
"M","Recent",1.85758149780256
"M","Recent",1.90011559712079
"M","Recent",1.83415459378502
"M","Recent",1.92991345563473
"M","Recent",1.8618892814827
"M","Recent",1.82854548483796
"M","Recent",1.91661222245067
"M","Recent",1.87654696561958
"M","Recent",1.8832506603208
"M","Recent",1.97681260777529
"M","Recent",1.93049972666268
"M","Recent",1.92581678492178
"M","Recent",1.89628457193384
"M","Recent",1.86974215268119
"M","Recent",1.81451774075505
"M","Recent",1.88656534473094
"M","Recent",1.86757042466223
"M","Recent",1.89529449366026
"M","Recent",1.89572295244624
"M","Recent",1.90597655354466
"M","Recent",1.89418518036657
"M","Recent",1.85280863819042
"M","Recent",1.89831310380441
"M","Recent",1.87072862214902
"M","Recent",1.93064256815184
"M","Recent",1.97585612473117
"M","Recent",1.93286902183755
"M","Recent",1.84629093316941
"M","Recent",1.6765217795285
"M","Recent",1.91845225103634
"M","Recent",1.90846133456405
"M","Recent",1.80889048408136
"M","Recent",1.903367884985
"M","Recent",1.90085529808657
"M","Recent",1.88281703161081
"M","Recent",1.86660539016542
"M","Recent",1.88721277156338
"M","Recent",1.87693960207232
"M","Recent",1.9735820791213
"M","Recent",1.89540198416315
"M","Recent",1.91675971490475
"M","Recent",1.88840677034017
"M","Five_years_ago",1.92633262792368
"M","Five_years_ago",1.84631869674357
"M","Five_years_ago",1.93848409380124
"M","Five_years_ago",1.98854526875699
"M","Five_years_ago",1.89019089053668
"M","Five_years_ago",1.9102374867507
"M","Five_years_ago",1.87017009655349
"M","Five_years_ago",1.95891238744526
"M","Five_years_ago",1.95247106107712
"M","Five_years_ago",1.92804905830692
"M","Five_years_ago",1.97260375912605
"M","Five_years_ago",1.92041007659045
"M","Five_years_ago",1.87798329795037
"M","Five_years_ago",1.96592830987048
"M","Five_years_ago",1.92856933055704
"M","Five_years_ago",1.83600064104332
"M","Five_years_ago",1.83805602056659
"M","Five_years_ago",1.85387044382243
"M","Five_years_ago",1.96748060310575
"M","Five_years_ago",1.82161917065264
"M","Five_years_ago",1.907189996253
"M","Five_years_ago",1.85569450029391
"M","Five_years_ago",1.89872129048189
"M","Five_years_ago",1.88361323035611
"M","Five_years_ago",1.89620194921816
"M","Five_years_ago",1.83226681849582
"M","Five_years_ago",1.85195955907201
"M","Five_years_ago",1.91124771696343
"M","Five_years_ago",1.89384197684368
"M","Five_years_ago",1.90005205100062
"M","Five_years_ago",1.87143783760381
"M","Five_years_ago",1.92113108875116
"M","Five_years_ago",1.81633070948871
"M","Five_years_ago",1.84319870347141
"M","Five_years_ago",1.9180606244712
"M","Five_years_ago",1.95284321064101
"M","Five_years_ago",1.80035397735977
"M","Five_years_ago",1.93821925267949
"M","Five_years_ago",1.90035826742694
"M","Five_years_ago",1.90509871679318
"M","Five_years_ago",1.88836164222186
"M","Five_years_ago",1.8289818436028
"M","Five_years_ago",1.8593338634715
"M","Five_years_ago",1.9230534651909
"M","Five_years_ago",1.88925531952141
"M","Five_years_ago",1.90694726240568
"M","Five_years_ago",1.94221151809444
"M","Five_years_ago",1.83457748333942
"M","Five_years_ago",1.95225843290682
"M","Five_years_ago",1.96050869614593
"M","Not_past_20",1.9041571836271
"M","Not_past_20",2.03924735155886
"M","Not_past_20",1.9297641160285
"M","Not_past_20",1.90388331747271
"M","Not_past_20",1.87206516971523
"M","Not_past_20",1.85966161618355
"M","Not_past_20",1.87446454695047
"M","Not_past_20",1.87217564388807
"M","Not_past_20",1.91205625824432
"M","Not_past_20",1.87123314887361
"M","Not_past_20",1.99927848654629
"M","Not_past_20",1.92316013734938
"M","Not_past_20",1.91462172051282
"M","Not_past_20",1.87430086736598
"M","Not_past_20",1.83821305911083
"M","Not_past_20",1.77493843755355
"M","Not_past_20",1.83016858806182
"M","Not_past_20",1.85504323792783
"M","Not_past_20",1.83363518231104
"M","Not_past_20",1.9101433215053
"M","Not_past_20",1.95064181311848
"M","Not_past_20",1.9012671720055
"M","Not_past_20",1.8746424989125
"M","Not_past_20",1.87465283820676
"M","Not_past_20",1.91324943829762
"M","Not_past_20",1.92958408699395
"M","Not_past_20",1.88558296451715
"M","Not_past_20",1.87354648110517
"M","Not_past_20",1.89100673075657
"M","Not_past_20",1.85347811516119
"M","Not_past_20",1.77662719778846
"M","Not_past_20",1.89747962871553
"M","Not_past_20",1.91232190888404
