"","Present","Temperature"
"1","Present",51.6456237184394
"2","Present",60.5345792927904
"3","Present",50.3564051912736
"4","Present",62.68670864376
"5","Present",60.2945891598929
"6","Present",47.8233789795865
"7","Present",56.9254591091606
"8","Present",55.2291399430661
"9","Present",60.907249330704
"10","Present",55.9481385829961
"11","Present",53.0285104886521
"12","Present",57.8211916291794
"13","Present",63.0350178569944
"14","Present",55.880425809874
"15","Present",61.0023197899372
"16","Present",57.9137497179176
"17","Present",54.5140913061165
"18","Present",42.4575824692418
"19","Present",54.4593317147435
"20","Present",57.9292465864054
"21","Present",55.3915405866237
"22","Present",56.5167209091965
"23","Present",51.8034782085458
"24","Present",64.1701623281323
"25","Present",51.9436875421732
"26","Present",52.8175142130085
"27","Present",60.6029546444003
"28","Present",55.2789698418042
"29","Present",57.2149115335993
"30","Present",48.9032701953143
"31","Absent",58.0034242654949
"32","Absent",57.2067694286414
"33","Absent",66.4858109120736
"34","Absent",57.0850278005623
"35","Absent",61.2620457095665
"36","Absent",58.3801002066736
"37","Absent",63.7239950375415
"38","Absent",55.9322243530419
"39","Absent",57.4824599552965
"40","Absent",50.6246114628976
"41","Absent",50.2054812043978
"42","Absent",53.4208277187801
"43","Absent",60.6641957084311
"44","Absent",53.3724092010604
"45","Absent",60.4026455025597
"46","Absent",68.0446374039364
"47","Absent",60.0665262124346
"48","Absent",59.3626950473719
"49","Absent",54.3042382907213
"50","Absent",51.5087364408645
"51","Absent",54.410023490017
"52","Absent",52.4870687012716
"53","Absent",52.2729594574139
"54","Absent",54.8363525615583
"55","Absent",57.095657192679
"56","Absent",62.4764734503652
"57","Absent",56.6265198388029
"58","Absent",61.073616054416
"59","Absent",61.0653341397826
"60","Absent",63.0952492522521
