1954,55,-2.52,100,1,0,8,0
1955,44,-1.73,100,1,0,10,0
1956,50,1.52,100,1,0,7,1
1957,100,-1.02,18000,2,50,8,0
1958,5,-0.37,1000,2,15,10,0
1959,400,-1.54,1500,3,190,6,3
1960,316,1.8,100,9,21,14,0
1961,10,-2.38,100,0,25,12,0
1962,5,-3.6,5000,0,0,8,0
1963,20,-2.86,2000,1,2,10,0
1964,15,-2.88,100,1,0,27,0
1965,20,-1.69,100,2,0,15,0
1966,51,1.28,2000,1,1,20,0
1967,10,-1.04,100,1,0,25,1
1968,152,-4.89,2000,1,0,10,0
1969,100,-1.89,12000,0,3,10,1
1970,64,-0.96,2000,1,0,8,2
1971,76,0.34,100,1,15,9,0
1972,25,2.52,500,1,10,16,15
1973,175,1.23,9,0,5,17,2
1974,50,1.63,2000,3,5,25,16
1975,22,1.37,30,2,40,27,5
1976,1600,-2.14,150,13,7000,12,8
1977,300,0.17,60,2,12,9,23
1978,225,-2.25,75,3,301,38,6
1979,1300,0.56,10,20,27,29,25
1980,330,2.05,11,0,18,45,1
1981,380,0.8,13,3,4,47,0
1982,1250,3.42,71,2,16,81,0
1983,6200,1.6,64,2,6,290,2
1984,1000,-0.63,21,3,3,120,4
1985,2400,0.5,4,1,7,44,3
1986,165,-0.75,2,1,6,21,0
1987,3000,0.72,28,1,3,35,2
1988,500,5.08,1,0,5,12,3
1989,300,3.96,0,1,3,44,0
1990,5000,1.03,75,4,4,40,2
1991,980,3.28,5,4,2,40,1
1992,1850,2.67,29,7,5,44,11
1993,600,3.03,30,1,6,27,8
1994,850,3.96,22,0,6,50,3
1995,3000,-3.78,7,1,4,23,3
1996,360,-0.17,15,3,3,31,1
1997,4200,0.72,31,8,100,135,4
1998,2200,1.7,19,10,130,161,15
1999,4200,2.8,22,4,14,70,5
2000,15700,-1.9,150,12,535,125,12
2001,530,0.76,5,23,5,149,1
2002,2200,0.2,24,447,3,101,12
2003,1700,-0.07,1400,75,32,109,9
2004,3700,0.12,31,300,120,70,35
2005,9500,-1.09,3,45,11,80,0
2006,1900,2.8,18,233,6,115,15
2007,1300,2.11,830,55,20,35,8
2008,8200,-0.4,320,180,14,52,3
2009,,-0.4,,,,,2
2010,,2.11,,,,,2
2011,,-0.4,,,,,16
2012,,,,,,,5
2013,,,,,,,8
2014,,,,,,,
